team_id,total_score,num_games,wins,losses,power,overall_rank,recent_opponent_1,recent_opponent_2,recent_opponent_3,recent_opponent_4,recent_opponent_5,div_rank,last_rank
Miami-Yoder,0,0,11,11,278.6595916,245,929,193,164,264,597,32,0
Minnetonka Christian Academy MN,0,0,0,1,278.3731426,-1,1164,1164,1164,1164,1164,-1,0
Kansas Deaf/Blind,0,0,0,0,278.32837,-1,0,0,0,0,0,-1,0
Agate,0,0,0,0,277.99013,-1,0,0,0,0,0,-1,0
Kiowa,0,0,10,14,277.7522899,246,266,635,624,504,929,31,0
Elbert,0,0,9,15,277.3560521,247,1212,165,264,275,588,33,0
Cotopaxi,0,0,14,9,277.3377775,248,311,263,162,196,139,34,0
Saratoga WY,0,0,1,0,277.3249547,-1,224,224,224,224,224,-1,0
Montbello,0,0,8,14,276.8810845,249,1149,1150,23,665,51,54,0
Rifle Jv,0,0,0,0,276.82961,-1,0,0,0,0,0,-1,0
Mile High Academy,0,0,17,7,276.7703418,250,292,542,703,226,947,35,0
Simla Jv,0,0,0,0,276.71506,-1,0,0,0,0,0,-1,0
Moab UT,0,0,1,1,276.7075539,-1,231,303,231,303,231,-1,0
Swink Jv,0,0,0,0,276.61115,-1,0,0,0,0,0,-1,0
Loveland Classical,0,0,13,10,276.5073839,251,254,377,401,401,377,32,0
Maryvale AZ,0,0,0,1,276.2493688,-1,84,84,84,84,84,-1,0
Green River UT,0,0,0,0,276.18495,-1,0,0,0,0,0,-1,0
Cimarron NM,0,0,0,0,276.16055,-1,0,0,0,0,0,-1,0
Pueblo West JV,0,0,0,0,276.09326,-1,0,0,0,0,0,-1,0
Basalt,0,0,4,19,276.0230928,252,122,110,116,240,121,39,0
Glenwood Springs Jv,0,0,0,0,275.5137,-1,0,0,0,0,0,-1,0
Ascent Classical Northern,0,0,13,4,275.510414,253,645,1219,399,399,1219,2,0
Aspen,0,0,5,18,275.1946858,254,119,178,118,156,181,38,0
Coronado,0,0,2,20,275.0283547,255,75,441,91,10,11,55,0
Whitehorse UT,0,0,0,0,274.88305,-1,0,0,0,0,0,-1,0
Rocky Ford,0,0,6,17,274.5241238,256,189,408,192,193,190,33,0
Rock River WY,0,0,0,0,274.37998,-1,0,0,0,0,0,-1,0
Denver Science-Stapleton,0,0,0,0,274.2338,-1,0,0,0,0,0,-1,0
San Juan UT,0,0,0,1,274.0643933,-1,83,83,83,83,83,-1,0
Pueblo Central,0,0,5,16,273.9841654,257,76,79,48,78,441,56,0
Stargate,0,0,6,16,273.9680889,258,510,535,205,337,1158,40,0
Union Colony,0,0,9,12,273.6678622,259,141,173,367,1209,173,34,0
Denver Eagles,0,0,0,0,273.50615,-1,0,0,0,0,0,-1,0
Kemmerer WY,0,0,0,0,273.46588,-1,0,0,0,0,0,-1,0
Skyview Academy,0,0,10,13,273.1576222,260,173,141,645,257,134,39,0
Bruce Randolph,0,0,8,14,272.8749703,261,540,92,25,22,1147,40,0
The Academy,0,0,5,18,272.7548182,262,94,142,344,510,720,41,0
Prairie View,0,0,1,22,272.5669554,263,1,33,309,69,559,55,0
Deerfield KS,0,0,0,0,272.5616061,-1,247,250,247,250,247,-1,0
Florence,0,0,8,15,272.5252191,264,154,102,102,104,547,41,0
Loveland Christian,0,0,0,0,272.03379,-1,0,0,0,0,0,-1,0
Arrupe Jesuit,0,0,10,13,271.9709758,265,720,139,535,337,110,42,0
Washington Deaf/Blind,0,0,1,0,271.7256596,-1,251,251,251,251,251,-1,0
Machebeuf,0,0,8,15,271.2736081,266,645,367,173,109,94,35,0
Sargent Jv,0,0,0,0,271.25158,-1,0,0,0,0,0,-1,0
Big Horn WY,0,0,0,0,271.21843,-1,0,0,0,0,0,-1,0
Bayfield,0,0,5,17,271.0175366,267,128,83,217,127,126,43,0
Bethune,0,0,6,16,270.5700495,268,281,319,287,284,288,36,0
Thornton,0,0,5,16,270.4975851,269,72,13,14,68,72,57,0
Pueblo Centennial,0,0,8,15,270.382488,270,102,77,81,80,78,42,0
